"","X","rep","processing","sweetener","tiempo","compound","concentration","Temp"
"109","ST1_rep1","rep1","1","ST",61.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",3.91,4
"110","ST2_rep1","rep1","2","ST",61.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",1.83,20
"111","STP_rep1","rep1","P","ST",61.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",4.2,4
"112","SU1_rep1","rep1","1","SU",61.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",1.7,20
"113","SU2_rep1","rep1","2","SU",61.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",3.98,4
"114","SUP_rep1","rep1","P","SU",61.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",1.94,20
"115","ST1_rep2","rep2","1","ST",61.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",3.85,4
"116","ST2_rep2","rep2","2","ST",61.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",1.63,20
"117","STP_rep2","rep2","P","ST",61.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",4.13,4
"118","SU1_rep2","rep2","1","SU",61.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",1.82,20
"119","SU2_rep2","rep2","2","SU",61.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",3.93,4
"120","SUP_rep2","rep2","P","SU",61.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",1.9,20
"121","ST1_rep3","rep3","1","ST",61.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",4.08,4
"122","ST2_rep3","rep3","2","ST",61.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",1.69,20
"123","STP_rep3","rep3","P","ST",61.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",4.1,4
"124","SU1_rep3","rep3","1","SU",61.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",1.89,20
"125","SU2_rep3","rep3","2","SU",61.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",3.93,4
"126","SUP_rep3","rep3","P","SU",61.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",1.84,20
"127","ST1_rep1","rep1","1","ST",91.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",3.85,4
"128","ST2_rep1","rep1","2","ST",91.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",1.26,20
"129","STP_rep1","rep1","P","ST",91.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",3.83,4
"130","SU1_rep1","rep1","1","SU",91.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",1.28,20
"131","SU2_rep1","rep1","2","SU",91.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",3.71,4
"132","SUP_rep1","rep1","P","SU",91.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",1.27,20
"133","ST1_rep2","rep2","1","ST",91.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",3.83,4
"134","ST2_rep2","rep2","2","ST",91.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",1.32,20
"135","STP_rep2","rep2","P","ST",91.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",3.76,4
"136","SU1_rep2","rep2","1","SU",91.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",1.28,20
"137","SU2_rep2","rep2","2","SU",91.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",3.88,4
"138","SUP_rep2","rep2","P","SU",91.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",1.24,20
"139","ST1_rep3","rep3","1","ST",91.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",3.67,4
"140","ST2_rep3","rep3","2","ST",91.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",1.27,20
"141","STP_rep3","rep3","P","ST",91.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",3.75,4
"142","SU1_rep3","rep3","1","SU",91.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",1.34,20
"143","SU2_rep3","rep3","2","SU",91.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",3.79,4
"144","SUP_rep3","rep3","P","SU",91.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",1.34,20
"145","ST1_rep1","rep1","1","ST",0.00099999999999989,"Delphinidin.3.5.O.diglucoside",4.62,4
"146","ST2_rep1","rep1","2","ST",0.00099999999999989,"Delphinidin.3.5.O.diglucoside",4.62,20
"147","STP_rep1","rep1","P","ST",0.00099999999999989,"Delphinidin.3.5.O.diglucoside",4.62,4
"148","SU1_rep1","rep1","1","SU",0.00099999999999989,"Delphinidin.3.5.O.diglucoside",4.37,20
"149","SU2_rep1","rep1","2","SU",0.00099999999999989,"Delphinidin.3.5.O.diglucoside",4.37,4
"150","SUP_rep1","rep1","P","SU",0.00099999999999989,"Delphinidin.3.5.O.diglucoside",4.37,20
"151","ST1_rep2","rep2","1","ST",0.00099999999999989,"Delphinidin.3.5.O.diglucoside",4.5,4
"152","ST2_rep2","rep2","2","ST",0.00099999999999989,"Delphinidin.3.5.O.diglucoside",4.5,20
"153","STP_rep2","rep2","P","ST",0.00099999999999989,"Delphinidin.3.5.O.diglucoside",4.5,4
"154","SU1_rep2","rep2","1","SU",0.00099999999999989,"Delphinidin.3.5.O.diglucoside",4.37,20
"155","SU2_rep2","rep2","2","SU",0.00099999999999989,"Delphinidin.3.5.O.diglucoside",4.37,4
"156","SUP_rep2","rep2","P","SU",0.00099999999999989,"Delphinidin.3.5.O.diglucoside",4.37,20
"157","ST1_rep3","rep3","1","ST",0.00099999999999989,"Delphinidin.3.5.O.diglucoside",4.47,4
"158","ST2_rep3","rep3","2","ST",0.00099999999999989,"Delphinidin.3.5.O.diglucoside",4.47,20
"159","STP_rep3","rep3","P","ST",0.00099999999999989,"Delphinidin.3.5.O.diglucoside",4.47,4
"160","SU1_rep3","rep3","1","SU",0.00099999999999989,"Delphinidin.3.5.O.diglucoside",4.34,20
"161","SU2_rep3","rep3","2","SU",0.00099999999999989,"Delphinidin.3.5.O.diglucoside",4.34,4
"162","SUP_rep3","rep3","P","SU",0.00099999999999989,"Delphinidin.3.5.O.diglucoside",4.34,20
"163","ST1_rep1","rep1","1","ST",1.001,"Delphinidin.3.5.O.diglucoside",4.07,4
"164","ST2_rep1","rep1","2","ST",1.001,"Delphinidin.3.5.O.diglucoside",4.07,20
"165","STP_rep1","rep1","P","ST",1.001,"Delphinidin.3.5.O.diglucoside",5.99,4
"166","SU1_rep1","rep1","1","SU",1.001,"Delphinidin.3.5.O.diglucoside",3.98,20
"167","SU2_rep1","rep1","2","SU",1.001,"Delphinidin.3.5.O.diglucoside",3.8,4
"168","SUP_rep1","rep1","P","SU",1.001,"Delphinidin.3.5.O.diglucoside",5.44,20
"169","ST1_rep2","rep2","1","ST",1.001,"Delphinidin.3.5.O.diglucoside",4.13,4
"170","ST2_rep2","rep2","2","ST",1.001,"Delphinidin.3.5.O.diglucoside",4.03,20
"171","STP_rep2","rep2","P","ST",1.001,"Delphinidin.3.5.O.diglucoside",5.92,4
"172","SU1_rep2","rep2","1","SU",1.001,"Delphinidin.3.5.O.diglucoside",3.81,20
"173","SU2_rep2","rep2","2","SU",1.001,"Delphinidin.3.5.O.diglucoside",3.87,4
"174","SUP_rep2","rep2","P","SU",1.001,"Delphinidin.3.5.O.diglucoside",5.54,20
"175","ST1_rep3","rep3","1","ST",1.001,"Delphinidin.3.5.O.diglucoside",4.01,4
"176","ST2_rep3","rep3","2","ST",1.001,"Delphinidin.3.5.O.diglucoside",3.98,20
"177","STP_rep3","rep3","P","ST",1.001,"Delphinidin.3.5.O.diglucoside",5.68,4
